Date,Share Code,Year High (GHS),Year Low (GHS),Previous Closing Price VWAP (GHS),Opening Price (GHS),Closing Price VWAP (GHS),Price Change (GHS),Closing Bid Price (GHS),Last Transaction Price (GHS),Total Shares Traded,Closing Offer Price (GHS),,,,,,,,,,,
2017-06-06,BOPP,3.66,2.08,3.56,3.56,3.56,0,3.57,3.52,0,4,,,,,,,,,,,
2017-06-07,BOPP,4,2.08,3.56,3.56,4,0.44,4,4,900,,,,,,,,,,,,
2017-06-08,BOPP,4,2.08,4,3.56,4,0,4,4,0,4.2,,,,,,,,,,,
2017-06-09,BOPP,4,2.08,4,4,4,0,,4,3400,4.2,,,,,,,,,,,
2017-06-12,BOPP,4,2.08,4,4,4,0,4,4,4800,,,,,,,,,,,,
2017-06-13,BOPP,4.01,2.08,4,4,4.01,0.01,4.01,4.01,2300,4.5,,,,,,,,,,,
2017-06-14,BOPP,4.01,2.08,4.01,4.01,4.01,0,4.01,4.01,200,,,,,,,,,,,,
2017-06-15,BOPP,4.01,2.08,4.01,4.01,4.2,0.19,4.01,4.2,1600,4.25,,,,,,,,,,,
2017-06-16,BOPP,4.01,2.08,4.2,4.2,4.2,0,4,4.2,1000,,,,,,,,,,,,
2017-06-19,BOPP,4.01,2.08,4.2,4.2,4.2,0,4.1,4.2,5000,,,,,,,,,,,,
2017-06-20,BOPP,4.01,2.08,4.2,4.2,4.2,0,4.2,4.2,0,,,,,,,,,,,,
2017-06-21,BOPP,4.01,2.08,4.2,4.2,4.2,0,4.2,4.2,0,,,,,,,,,,,,
2017-06-22,BOPP,4.4,2.08,4.2,4.2,4.31,0.11,4.2,4.4,1900,,,,,,,,,,,,
2017-06-23,BOPP,4.4,2.08,4.31,4.2,4.31,0,4.31,4.31,500,,,,,,,,,,,,
2017-06-27,BOPP,4.4,2.08,4.31,4.2,4.31,0,4.31,4.31,0,,,,,,,,,,,,
2017-06-28,BOPP,4.4,2.08,4.31,4.2,4.31,0,4.31,4.31,0,,,,,,,,,,,,
2017-06-29,BOPP,4.4,2.08,4.31,4.31,4.32,0.01,4.31,4.32,300,,,,,,,,,,,,
2017-06-30,BOPP,4.4,2.08,4.32,4.32,4.4,0.08,4.41,4.4,900,,,,,,,,,,,,
2017-07-04,BOPP,4.41,2.08,4.4,4.32,4.41,0.01,4.51,4.41,200,,,,,,,,,,,,
2017-07-05,BOPP,4.41,2.08,4.41,4.41,4.41,0,4.51,4.41,0,,,,,,,,,,,,
2017-07-06,BOPP,4.41,2.08,4.41,4.41,4.41,0,4.66,4.41,0,,,,,,,,,,,,
2017-07-07,BOPP,4.41,2.08,4.41,4.41,4.41,0,4.8,4.41,0,,,,,,,,,,,,
2017-07-10,BOPP,4.52,2.08,4.41,4.41,4.52,0.11,4.52,4.52,1900,,,,,,,,,,,,
2017-07-11,BOPP,4.52,2.08,4.52,4.52,4.52,0,4.67,4.52,0,,,,,,,,,,,,
2017-07-12,BOPP,4.52,2.08,4.52,4.52,4.52,0,4.62,4.52,0,,,,,,,,,,,,
2017-07-13,BOPP,4.52,2.08,4.52,4.52,4.52,0,4.72,4.52,0,,,,,,,,,,,,
2017-07-14,BOPP,4.52,2.08,4.52,4.52,4.52,0,4.6,4.52,100,,,,,,,,,,,,
2017-07-17,BOPP,4.52,2.08,4.52,4.52,4.52,0,5,4.52,10700,,,,,,,,,,,,
2017-07-18,BOPP,4.52,2.08,4.52,4.52,4.52,0,5,4.52,0,,,,,,,,,,,,
2017-07-19,BOPP,5,2.08,4.52,4.52,5,0.48,,5,5000,,,,,,,,,,,,
2017-07-20,BOPP,5.01,2.08,5,5,5.01,0.01,5.01,5.01,700,,,,,,,,,,,,
2017-07-21,BOPP,5.01,2.08,5.01,5,5.01,0,5.01,5.01,0,,,,,,,,,,,,
2017-07-24,BOPP,5.03,2.08,5.01,5.01,5.03,0.02,5.03,5.03,300,,,,,,,,,,,,
2017-07-25,BOPP,5.03,2.08,5.03,5.03,5.03,0,5.04,5.03,0,,,,,,,,,,,,
2017-07-26,BOPP,5.03,2.08,5.03,5.03,5.03,0,5.03,5.03,200,,,,,,,,,,,,
2017-07-27,BOPP,5.03,2.08,5.03,5.03,5.03,0,5.04,5.03,0,,,,,,,,,,,,
2017-07-28,BOPP,5.03,2.08,5.03,5.03,5.03,0,5.03,5.03,0,,,,,,,,,,,,
2017-07-31,BOPP,5.03,2.08,5.03,5.03,5.03,0,5.03,5.03,0,,,,,,,,,,,,
2017-08-01,BOPP,5.03,2.08,5.03,5.03,5.03,0,5.03,5.03,0,,,,,,,,,,,,
2017-08-02,BOPP,5.03,2.08,5.03,5.03,5.03,0,5.03,5.03,800,,,,,,,,,,,,
2017-08-03,BOPP,5.04,2.08,5.03,5.03,5.04,0.01,5.04,5.04,300,,,,,,,,,,,,
2017-08-04,BOPP,5.04,2.08,5.04,5.04,5.04,0,5.05,5.04,700,,,,,,,,,,,,
2017-08-07,BOPP,5.04,2.08,5.04,5.04,5.04,0,5.06,5.04,0,5.7,,,,,,,,,,,
2017-08-08,BOPP,5.06,2.08,5.04,5.04,5.06,0.02,5.06,5.06,500,,,,,,,,,,,,
2017-08-09,BOPP,5.06,2.08,5.06,5.06,5.06,0,5.06,5.06,0,,,,,,,,,,,,
2017-08-10,BOPP,5.08,2.08,5.06,5.06,5.08,0.02,5.09,5.08,200,5.12,,,,,,,,,,,
2017-08-11,BOPP,5.08,2.08,5.08,5.08,5.08,0,5.09,5.08,0,5.12,,,,,,,,,,,
2017-08-14,BOPP,5.09,2.08,5.08,5.08,5.09,0.01,5.09,5.09,2100,5.12,,,,,,,,,,,
2017-08-15,BOPP,5.12,2.08,5.09,5.09,5.12,0.03,5.13,5.12,300,,,,,,,,,,,,
2017-08-16,BOPP,5.28,2.08,5.12,5.12,5.21,0.09,5.25,5.28,600,5.3,,,,,,,,,,,
2017-08-17,BOPP,5.28,2.08,5.21,5.21,5.25,0.04,5.25,5.25,500,,,,,,,,,,,,
2017-08-18,BOPP,5.3,2.08,5.25,5.25,5.3,0.05,5.3,5.3,200,,,,,,,,,,,,
2017-08-21,BOPP,5.3,2.08,5.3,5.3,5.3,0,5.3,5.3,0,,,,,,,,,,,,
2017-08-22,BOPP,5.3,2.08,5.3,5.3,5.3,0,5.3,5.3,0,,,,,,,,,,,,
2017-08-23,BOPP,5.3,2.08,5.3,5.3,5.3,0,5.3,5.3,0,,,,,,,,,,,,
2017-08-24,BOPP,5.3,2.08,5.3,5.3,5.3,0,5.3,5.3,0,,,,,,,,,,,,
2017-08-25,BOPP,5.3,2.08,5.3,5.3,5.3,0,5.3,5.3,0,,,,,,,,,,,,
2017-08-28,BOPP,5.3,2.08,5.3,5.3,5.3,0,5.3,5.3,0,,,,,,,,,,,,
2017-08-29,BOPP,5.32,2.08,5.3,5.3,5.32,0.02,5.31,5.32,800,,,,,,,,,,,,
2017-08-30,BOPP,5.32,2.08,5.32,5.32,5.32,0,5.32,5.32,0,,,,,,,,,,,,
2017-08-31,BOPP,5.32,2.08,5.32,5.32,5.32,0,5.32,5.32,0,5.4,,,,,,,,,,,
2017-09-04,BOPP,5.36,2.08,5.32,5.32,5.35,0.03,5.36,5.36,2200,5.38,,,,,,,,,,,
2017-09-05,BOPP,5.46,2.08,5.35,5.35,5.41,0.06,5.45,5.46,1400,5.7,,,,,,,,,,,
2017-09-06,BOPP,5.46,2.08,5.41,5.41,5.42,0.01,5.42,5.42,300,,,,,,,,,,,,
2017-09-07,BOPP,5.46,2.08,5.42,5.41,5.42,0,5.42,5.42,0,,,,,,,,,,,,
2017-09-08,BOPP,5.46,2.08,5.42,5.42,5.42,0,5.42,5.42,0,,,,,,,,,,,,
2017-09-11,BOPP,5.46,2.08,5.42,5.42,5.42,0,5.45,5.42,0,5.7,,,,,,,,,,,
